business_id,name,address,city,state,postal_code,overall_business_stars,overall_review_count,business_open,categories,hours,isromantic,isintimate,istouristy,ishipster,isdivey,isclassy,istrendy,isupscale,iscasual,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,alcohol,outdoorseating,restaurantstableservice,bikeparking,happyhour,byob,businessacceptscreditcards,restaurantscounterservice,hastv,restaurantspricerange2,restaurantsreservations,restaurantsdelivery,wifi,restaurantstakeout,n_photo,attribute_count,average_stars_2018,average_stars_2019,review_count_2018,review_count_2019,check_in_count_2018,check_in_count_2019,Total.population_2018,Total.population_2019,children_2018,children_2019,youth_2018,youth_2019,adults_2018,adults_2019,elders_2018,elders_2019,geometry,children,youth,adults,elders,business_lat,business_long,scaled_capped_business_proximity,landmarks_nearby
00AGVWzkxNLGb-7ZrwAOIA,Ever Green,4726 Spruce Ct,Philadelphia,PA,19139,3,70,1,"Restaurants, Chinese","{""Friday"": ""11:0-0:0"", ""Monday"": ""11:0-23:0"", ""Sunday"": ""12:0-23:0"", ""Tuesday"": ""11:0-23:0"", ""Saturday"": ""11:0-0:0"", ""Thursday"": ""11:0-23:0"", ""Wednesday"": ""11:0-23:0""}",False,False,False,False,True,False,False,False,False,False,True,False,False,False,none',False,NULL,True,NULL,NULL,False,NULL,True,1,False,True,no',True,0,9,2,0,6,0,2,2,44870,46397,9958,10556,6191,6533,22881,23428,5840,5880,"c(-75.2170205, 39.9532594)",44760,49723,118242,29849,39.9532594,-75.2170205,0.6295659175119628,18
00rIcvqmfci_oJWkOqPqmg,T & F Farmers Pride,8101 Ridge Ave,Philadelphia,PA,19128,4.5,92,1,"Specialty Food, Delis, Sandwiches, Fruits & Veggies, International Grocery, Grocery, Food, Restaurants, Farmers Market","{""Friday"": ""9:0-17:0"", ""Monday"": ""0:0-0:0"", ""Sunday"": ""9:0-16:0"", ""Tuesday"": ""9:0-17:0"", ""Saturday"": ""10:0-15:0"", ""Thursday"": ""9:0-17:0"", ""Wednesday"": ""9:0-17:0""}",False,False,False,False,False,False,False,False,False,False,True,False,True,False,none',True,False,True,NULL,False,False,NULL,False,1,False,False,no',True,5,8,4.75,4.9286,8,14,8,6,38309,37644,5384,5069,3923,3492,23238,23403,5764,5680,"c(-75.2357367, 40.0571665)",20952,16635,78528,21782,40.0571665,-75.2357367,-0.41413206947463527,9
01mP5a06zQpaYOakfaVBOQ,Philly's Platinum Grille,7719 Crittenden St,Philadelphia,PA,19118,2.5,61,1,"Restaurants, Soul Food, American (New), Nightlife, Bars","{""Friday"": ""12:0-22:0"", ""Monday"": ""17:0-22:0"", ""Sunday"": ""11:0-22:0"", ""Tuesday"": ""17:0-22:0"", ""Saturday"": ""11:0-23:0"", ""Thursday"": ""12:0-22:0"", ""Wednesday"": ""12:0-22:0""}",False,False,False,False,False,False,False,False,False,False,False,False,False,False,full_bar',False,NULL,False,NULL,NULL,True,NULL,True,2,True,False,'free',True,0,8,2.2,2.6,5,5,5,4,10919,10884,1458,1309,1655,1600,5577,5469,2229,2506,"c(-75.1949470435, 40.0727911933)",11670,8138,44921,13890,40.0727911933,-75.1949470435,-0.3526310904530189,14
02nb6CI8w-2EoSEkQdk2Wg,Philadelphia Java Company,852 S 2nd St,Philadelphia,PA,19147,4,101,1,"Bagels, Restaurants, Cafes, Food, Coffee & Tea","{""Friday"": ""6:0-19:0"", ""Monday"": ""6:0-19:0"", ""Sunday"": ""7:0-19:0"", ""Tuesday"": ""6:0-19:0"", ""Saturday"": ""7:0-19:0"", ""Thursday"": ""6:0-19:0"", ""Wednesday"": ""6:0-19:0""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,True,False,False,False,NULL,True,NULL,True,NULL,NULL,True,NULL,NULL,1,NULL,NULL,free',True,2,5,4,3.7273,8,11,15,6,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,"c(-75.1469422175, 39.9361704128)",30187,17884,131221,28866,39.9361704128,-75.1469422175,0.927272218594734,22
03cvVjbkCOtiIt51M-MLFg,Prime Halal Meat,500 S 23rd St,Philadelphia,PA,19146,4.5,65,1,"Restaurants, Specialty Food, Meat Shops, Food, Halal, Grocery","{""Friday"": ""15:0-20:0"", ""Sunday"": ""10:0-17:0"", ""Tuesday"": ""10:0-19:0"", ""Saturday"": ""10:0-20:0"", ""Thursday"": ""10:0-19:0"", ""Wednesday"": ""10:0-19:0""}",False,False,False,False,False,False,False,False,False,False,True,False,False,False,none',False,NULL,False,NULL,NULL,True,NULL,True,1,False,False,no',True,1,4,4.5,5,4,4,4,2,38873,39282,5386,5379,3562,3312,25232,25886,4693,4705,"c(-75.179681, 39.9462612)",49145,49443,183943,43333,39.9462612,-75.179681,0.8247670204602402,18
03jQGGJ2ch0uHTtW-UUUqg,Famous 4th Street Delicatessen,700 S 4th St,Philadelphia,PA,19147,4,620,1,"Bakeries, Breakfast & Brunch, Delis, Restaurants, Food, Sandwiches, Desserts","{""Friday"": ""9:0-20:0"", ""Monday"": ""9:0-20:0"", ""Sunday"": ""9:0-20:0"", ""Tuesday"": ""9:0-20:0"", ""Saturday"": ""9:0-20:0"", ""Thursday"": ""9:0-20:0"", ""Wednesday"": ""9:0-20:0""}",False,False,False,False,False,False,False,False,True,False,True,False,False,False,none',False,True,True,NULL,NULL,True,NULL,True,2,False,True,no',True,27,14,4.2714,3.9048,70,63,83,89,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,"c(-75.1496827, 39.9404915)",30187,17884,131221,28866,39.9404915,-75.1496827,1.2433640638309953,26
04o5yH6y_49RkLuEaiW5mg,Debreaux's,2135 N 63rd St,Philadelphia,PA,19151,3,50,1,"Restaurants, Seafood, Soul Food",NULL,False,False,False,False,False,False,False,False,False,False,True,False,True,False,none',False,NULL,True,NULL,NULL,True,NULL,False,2,False,False,no',True,1,8,2.9,2.3636,10,11,2,3,33174,33343,6877,7019,4263,4261,18221,18171,3813,3892,"c(-75.2497887, 39.9892351)",25602,17172,63324,16918,39.9892351,-75.2497887,-0.3745684404144147,7
04UD14gamNjLY0IDYVhHJg,Dmitri's,795 S 3rd St,Philadelphia,PA,19147,4,273,0,"Mediterranean, Restaurants, Seafood, Greek","{""Friday"": ""17:30-22:0"", ""Sunday"": ""17:0-21:0"", ""Saturday"": ""17:30-22:0"", ""Thursday"": ""17:30-21:0"", ""Wednesday"": ""17:30-21:0""}",NULL,NULL,False,False,False,False,False,False,True,False,True,False,False,False,'none',False,NULL,True,False,NULL,False,NULL,False,2,False,False,no',True,9,5,3.5185,3.7857,27,14,19,10,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,"c(-75.1481307, 39.9380132)",30187,17884,131221,28866,39.9380132,-75.1481307,0.9782705067262863,24
04vmwMgr5bmT8tGokHrLEg,The Wander Inn,2500 S 3rd St,Philadelphia,PA,19148,4.5,22,0,"Restaurants, Bars, Gastropubs, Cocktail Bars, Pubs, Nightlife","{""Friday"": ""16:0-2:0"", ""Monday"": ""16:0-2:0"", ""Sunday"": ""11:0-2:0"", ""Tuesday"": ""16:0-2:0"", ""Saturday"": ""11:0-2:0"", ""Thursday"": ""16:0-2:0"", ""Wednesday"": ""16:0-2:0""}",False,False,False,False,False,False,False,False,False,False,True,False,False,False,full_bar',True,True,True,True,NULL,True,NULL,True,NULL,False,False,free',True,0,8,4.8333,4.5,12,12,3,1,52594,52259,9257,9472,4110,4141,31531,31193,7696,7453,"c(-75.1528165, 39.9169865)",28581,14140,110165,24264,39.9169865,-75.1528165,0.13722124163002844,6
_05DcCQmCP5aGnfCnI4r9Q,Capital One Café,"135 S 17th St, Ste A",Philadelphia,PA,19103,4,178,1,"Food, Coffee & Tea, Financial Advising, Banks & Credit Unions, Internet Cafes, Financial Services, Restaurants, Cafes","{""Friday"": ""7:0-19:0"", ""Monday"": ""7:0-19:0"", ""Sunday"": ""9:0-17:0"", ""Tuesday"": ""7:0-19:0"", ""Saturday"": ""8:0-19:0"", ""Thursday"": ""7:0-19:0"", ""Wednesday"": ""7:0-19:0""}",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,True,False,False,False,'none',False,NULL,True,NULL,NULL,True,NULL,True,1,False,False,'free',True,7,5,4.037,4.25,27,20,87,74,24219,24214,1290,1246,1926,1859,15772,15803,5231,5306,"c(-75.1689142564, 39.9500535)",16174,32406,83217,17953,39.9500535,-75.1689142564,1.4813716443204064,10
