"business_id","business_lat","business_long","business_stars","business_stars_pre_2020","review_count","review_count_pre_2020","check_in_count","check_in_count_pre_2020","attribute_count","business_park","business_happy_h","business_price","business_open","n_photo"
"00AGVWzkxNLGb-7ZrwAOIA","39.9532594","-75.2170205","3.0","3.2",70,"75",73,"73",9,1,0,"1","1",NULL
"00rIcvqmfci_oJWkOqPqmg","40.0571665","-75.2357367","4.5","4.6",92,"68",98,"89",8,1,0,"1","1","5"
"018ixB-WinNmflwX2UvS1g","39.9461554","-75.1688026","4.0","3.9",16,"16",39,"39",4,1,0,"1","0",NULL
"01mP5a06zQpaYOakfaVBOQ","40.0727911933","-75.1949470435","2.5","2.5",61,"58",56,"56",8,0,0,"2","1",NULL
"01YFYYmevGER3VJ1xFtUcA","39.953173","-75.1928651","2.5","2.6",45,"47",53,"53",9,1,0,"2","0","1"
"02nb6CI8w-2EoSEkQdk2Wg","39.9361704128","-75.1469422175","4.0","4.2",101,"94",472,"466",5,1,0,"1","1","2"
"02nUjwVmJGTgGyiIi-hklg","39.9525122617","-75.1717417315","4.5","4.5",11,"11",23,"17",2,1,0,NULL,"0","2"
"03cvVjbkCOtiIt51M-MLFg","39.9462612","-75.179681","4.5","4.3",65,"59",92,"88",4,1,0,"1","1","1"
"03jQGGJ2ch0uHTtW-UUUqg","39.9404915","-75.1496827","4.0","4.0",620,"556",1049,"955",14,1,0,"2","1","27"
"03K9F1xumPgdRiohRrXyfw","39.953278","-75.1957582","3.0","3.1",8,"8",13,"13",5,0,0,"2","1",NULL
"03Z0iTZ29-Mh02OXE7sPBQ","40.0510400798","-75.0572700799","2.5","2.2",12,"6",30,"21",3,0,0,NULL,"1","2"
"03z1PDwgKroME5MWr763rw","39.9259322","-75.1712889","4.0","4.2",5,"5",13,"13",5,0,0,"1","0",NULL
"04o5yH6y_49RkLuEaiW5mg","39.9892351","-75.2497887","3.0","3.2",50,"50",35,"34",8,1,0,"2","1","1"
"04UD14gamNjLY0IDYVhHJg","39.9380132","-75.1481307","4.0","4.0",273,"250",290,"290",5,1,0,"2","0","9"
"04vmwMgr5bmT8tGokHrLEg","39.9169865","-75.1528165","4.5","4.7",22,"24",4,"4",8,1,1,NULL,"0",NULL
"_05DcCQmCP5aGnfCnI4r9Q","39.9500535","-75.1689142564","4.0","4.1",178,"172",677,"645",5,1,0,"1","1","7"
"05ev984NYfimRN0UiFrxaA","39.965015","-75.161076","4.0","3.9",877,"801",996,"933",17,1,1,"3","1","61"
"05J_7mQg7dPuaSB_BBYEOQ","39.9712925","-75.1674205","4.5","4.7",48,"48",55,"55",10,1,1,"3","0","13"
"07LPxCT59Gwg57tmzQdirg","39.9535517","-75.219443","4.0","4.2",5,"5",17,"16",NULL,0,0,NULL,"1",NULL
"0-7N3z_cb3Z1xMGDrbez6w","39.926032","-75.1678","4.0","3.9",389,"368",466,"436",13,1,1,"3","1","12"
"082Z772_Ig8SXp9DibYCAA","40.0265248","-75.2265609","3.0","2.8",35,"33",10,"10",6,0,0,"1","0","1"
"0a8t_Th0jtWUMmtq0q2dqA","39.9531984523","-75.1928739332","3.5","3.5",30,"27",40,"37",4,0,0,NULL,"1","2"
"0Ae7F98kmeA01VJCIdD8vw","39.9675987041","-75.1414208832","4.5","4.3",94,"91",90,"90",10,1,0,"2","0",NULL
"0ak-7uV9Nb7nF_l-mMCysA","39.9532717","-75.1562016","4.0","4.1",228,"185",530,"510",12,1,0,"1","1","9"
"0bb_b3Neemt_LOZfxhnFXA","40.027066","-75.2267952","4.0",NULL,14,NULL,21,NULL,7,1,0,NULL,"1","2"
